episode,num_iters,sum_rewards,curr_eps,time
603,1116,-20,0.374402,32653.407767
604,1035,-21,0.373470,32713.362761
605,1109,-21,0.372472,32773.182955
606,1188,-21,0.371403,32840.960180
607,1109,-21,0.370405,32894.337887
608,1111,-21,0.369405,32954.508820
609,1023,-21,0.368484,33010.689514
610,1058,-21,0.367532,33065.188713
611,1102,-21,0.366540,33128.090128
612,1112,-20,0.365540,33185.461877
613,1120,-21,0.364532,33243.936028
614,1105,-21,0.363537,33305.168938
615,1084,-21,0.362561,33371.316426
616,1116,-21,0.361557,33433.169890
617,1046,-21,0.360616,33492.544329
618,1095,-21,0.359630,33551.734768
619,1102,-21,0.358638,33603.229073
620,1102,-21,0.357647,33661.406913
621,1183,-21,0.356582,33724.796582
622,1220,-21,0.355484,33787.199625
623,1125,-20,0.354471,33844.517801
624,1104,-21,0.353478,33903.466939
625,1237,-21,0.352364,33968.471461
626,1104,-21,0.351371,34030.263645
627,1121,-20,0.350362,34089.823163
628,1095,-21,0.349376,34148.013260
629,1138,-21,0.348352,34212.354649
630,1113,-21,0.347351,34266.403738
631,1103,-21,0.346358,34327.506962
632,1107,-21,0.345362,34396.442847
633,1114,-20,0.344359,34458.340516
634,1118,-20,0.343353,34516.724223
635,1087,-21,0.342374,34573.877340
636,1062,-21,0.341419,34631.463590
637,1051,-21,0.340473,34690.572281
638,1272,-21,0.339328,34761.089529
639,1177,-21,0.338269,34820.822432
640,1121,-20,0.337260,34874.686638
641,1150,-20,0.336225,34940.979082
642,1082,-21,0.335251,34998.605322
643,1115,-20,0.334247,35065.552667
644,1136,-21,0.333225,35126.105931
645,1105,-21,0.332231,35181.465042
646,1103,-21,0.331238,35244.312636
647,1106,-21,0.330242,35307.778123
648,1104,-21,0.329249,35368.192073
649,1056,-21,0.328298,35420.461581
650,1105,-21,0.327304,35480.222369
651,1120,-20,0.326296,35545.620071
652,1089,-21,0.325316,35611.570498
653,1134,-20,0.324295,35674.134157
654,1123,-21,0.323285,35734.260141
655,1128,-20,0.322269,35791.314652
656,1053,-21,0.321322,35847.263174
657,1018,-21,0.320405,35892.246650
658,1133,-20,0.319386,35955.205144
659,1130,-20,0.318369,36014.564209
660,1094,-21,0.317384,36073.772471
661,1107,-21,0.316388,36136.096014
662,1058,-21,0.315436,36194.243930
663,1100,-21,0.314446,36260.077359
