episode,num_iters,loss,sum_rewards,curr_eps,debug_param,time
385,1147,0.016660,-20,0.577275,5431362,72750.475379
386,1154,0.011993,-20,0.576237,5445708,72945.782328
387,1231,0.010500,-20,0.575129,5460057,73141.973223
388,1110,0.011745,-21,0.574130,5472619,73308.926267
389,1365,0.012279,-21,0.572901,5487786,73515.098322
390,1114,0.010734,-20,0.571899,5500288,73686.010286
391,1025,0.010460,-21,0.570976,5512665,73854.725067
392,1015,0.011061,-21,0.570063,5524526,74017.950681
393,1066,0.010715,-21,0.569103,5536496,74181.522725
394,1173,0.009080,-21,0.568048,5550613,74372.503850
395,1134,0.011156,-20,0.567027,5563392,74548.961275
396,1048,0.010504,-21,0.566084,5575641,74719.363731
397,1101,0.011153,-21,0.565093,5588008,74889.593395
398,1373,0.009456,-21,0.563857,5604120,75109.337349
399,1014,0.012730,-21,0.562945,5615839,75268.720625
400,1097,0.007411,-21,0.561957,5628593,75440.319216
401,1235,0.010809,-20,0.560846,5644469,75656.349736
402,1124,0.012188,-20,0.559834,5656688,75823.277585
403,1214,0.009756,-21,0.558742,5671623,76032.440451
404,1175,0.012173,-21,0.557684,5684040,76203.973475
405,1237,0.011091,-19,0.556571,5699167,76402.178333
406,1278,0.013663,-19,0.555421,5713281,76596.554640
407,1017,0.010445,-21,0.554505,5726022,76769.477099
408,1310,0.013037,-21,0.553326,5740858,76969.931063
409,1252,0.013856,-20,0.552200,5755962,77176.030024
410,1330,0.013095,-19,0.551003,5772357,77397.895962
411,1105,0.011786,-21,0.550008,5785308,77569.015401
412,1566,0.012810,-20,0.548599,5804935,77833.427543
413,1059,0.011719,-21,0.547646,5817751,78006.892262
414,1304,0.012483,-20,0.546472,5832555,78199.598788
415,1133,0.010683,-20,0.545452,5846406,78387.457857
416,1132,0.010893,-20,0.544434,5860516,78579.857491
417,1265,0.008138,-21,0.543295,5876219,78788.593066
418,1208,0.012899,-21,0.542208,5890789,78983.301532
419,1204,0.012950,-20,0.541124,5906751,79197.334437
420,1200,0.011809,-20,0.540044,5921247,79397.781318
421,1169,0.011072,-20,0.538992,5935609,79589.475999
422,1098,0.012253,-21,0.538004,5948329,79760.537151
423,1157,0.009508,-20,0.536963,5961479,79932.847644
424,1047,0.012389,-21,0.536020,5974255,80110.057681
425,1205,0.010834,-20,0.534936,5988869,80311.736884
